datetime,district,temperature,humidity,rainfall
2026-04-13T00:00,Barguna,26.1,96,0.0
2026-04-13T01:00,Barguna,26.1,96,0.0
2026-04-13T02:00,Barguna,25.9,96,0.0
2026-04-13T03:00,Barguna,25.6,96,0.0
2026-04-13T04:00,Barguna,25.5,95,0.0
2026-04-13T05:00,Barguna,25.4,95,0.0
2026-04-13T06:00,Barguna,25.9,92,0.0
2026-04-13T07:00,Barguna,27.5,84,0.0
2026-04-13T08:00,Barguna,29.0,78,0.0
2026-04-13T09:00,Barguna,30.2,74,0.0
2026-04-13T10:00,Barguna,31.3,70,0.0
2026-04-13T11:00,Barguna,31.9,67,0.0
2026-04-13T12:00,Barguna,32.0,65,0.0
2026-04-13T13:00,Barguna,32.0,66,0.0
2026-04-13T14:00,Barguna,31.8,67,0.0
2026-04-13T15:00,Barguna,30.5,71,0.0
2026-04-13T16:00,Barguna,30.2,72,0.0
2026-04-13T17:00,Barguna,29.2,76,0.0
2026-04-13T18:00,Barguna,28.2,83,0.0
2026-04-13T19:00,Barguna,27.3,88,0.0
2026-04-13T20:00,Barguna,27.2,89,0.0
2026-04-13T21:00,Barguna,27.4,88,0.0
2026-04-13T22:00,Barguna,27.1,89,0.0
2026-04-13T23:00,Barguna,27.0,89,0.0
2026-04-14T00:00,Barguna,26.6,91,0.0
2026-04-14T01:00,Barguna,26.8,88,0.0
2026-04-14T02:00,Barguna,26.4,89,0.0
2026-04-14T03:00,Barguna,26.3,89,0.0
2026-04-14T04:00,Barguna,26.2,89,0.0
2026-04-14T05:00,Barguna,26.1,90,0.0
2026-04-14T06:00,Barguna,25.7,94,0.0
2026-04-14T07:00,Barguna,27.5,87,0.0
2026-04-14T08:00,Barguna,29.1,79,0.1
2026-04-14T09:00,Barguna,30.5,72,0.0
2026-04-14T10:00,Barguna,31.6,67,0.0
2026-04-14T11:00,Barguna,32.0,65,0.0
2026-04-14T12:00,Barguna,30.8,68,1.6
2026-04-14T13:00,Barguna,30.8,68,0.5
2026-04-14T14:00,Barguna,30.8,67,0.6
2026-04-14T15:00,Barguna,29.6,73,0.2
2026-04-14T16:00,Barguna,29.5,75,0.1
2026-04-14T17:00,Barguna,29.1,76,0.0
2026-04-14T18:00,Barguna,27.6,87,0.0
2026-04-14T19:00,Barguna,27.1,90,0.0
2026-04-14T20:00,Barguna,27.0,91,0.0
2026-04-14T21:00,Barguna,27.4,90,0.0
2026-04-14T22:00,Barguna,27.3,91,0.0
2026-04-14T23:00,Barguna,27.1,93,0.0
2026-04-15T00:00,Barguna,26.9,96,0.0
2026-04-15T01:00,Barguna,26.9,96,0.0
2026-04-15T02:00,Barguna,26.6,96,0.0
2026-04-15T03:00,Barguna,26.5,96,0.0
2026-04-15T04:00,Barguna,26.5,96,0.0
2026-04-15T05:00,Barguna,26.3,96,0.0
2026-04-15T06:00,Barguna,26.1,95,0.0
2026-04-15T07:00,Barguna,28.0,85,0.0
2026-04-15T08:00,Barguna,29.5,77,0.0
2026-04-15T09:00,Barguna,30.7,70,0.0
2026-04-15T10:00,Barguna,31.6,65,0.0
2026-04-15T11:00,Barguna,32.2,62,0.0
2026-04-15T12:00,Barguna,32.0,63,0.0
2026-04-15T13:00,Barguna,31.6,68,0.1
2026-04-15T14:00,Barguna,30.9,72,0.0
2026-04-15T15:00,Barguna,30.9,70,0.4
2026-04-15T16:00,Barguna,29.9,77,0.0
2026-04-15T17:00,Barguna,29.2,79,0.0
2026-04-15T18:00,Barguna,28.4,83,0.0
2026-04-15T19:00,Barguna,27.5,89,0.0
2026-04-15T20:00,Barguna,27.2,90,0.0
2026-04-15T21:00,Barguna,27.0,91,0.0
2026-04-15T22:00,Barguna,27.0,91,0.0
2026-04-15T23:00,Barguna,26.9,91,0.0
2026-04-16T00:00,Barguna,26.9,89,0.0
2026-04-16T01:00,Barguna,27.1,87,0.0
2026-04-16T02:00,Barguna,27.0,86,0.0
2026-04-16T03:00,Barguna,26.7,86,0.0
2026-04-16T04:00,Barguna,26.5,87,0.0
2026-04-16T05:00,Barguna,26.1,90,0.0
2026-04-16T06:00,Barguna,25.9,94,0.0
2026-04-16T07:00,Barguna,27.6,88,0.1
2026-04-16T08:00,Barguna,29.2,78,0.1
2026-04-16T09:00,Barguna,30.2,73,0.2
2026-04-16T10:00,Barguna,31.2,68,0.0
2026-04-16T11:00,Barguna,32.1,62,0.0
2026-04-16T12:00,Barguna,31.4,63,0.0
2026-04-16T13:00,Barguna,31.8,60,0.0
2026-04-16T14:00,Barguna,31.4,61,0.0
2026-04-16T15:00,Barguna,30.7,65,0.0
2026-04-16T16:00,Barguna,29.9,68,0.0
2026-04-16T17:00,Barguna,29.2,72,0.0
2026-04-16T18:00,Barguna,28.2,78,0.0
2026-04-16T19:00,Barguna,27.5,82,0.0
2026-04-16T20:00,Barguna,27.1,83,0.0
2026-04-16T21:00,Barguna,27.2,84,0.0
2026-04-16T22:00,Barguna,26.8,86,0.0
2026-04-16T23:00,Barguna,26.5,87,0.0
2026-04-17T00:00,Barguna,26.6,87,0.0
2026-04-17T01:00,Barguna,26.2,90,0.0
2026-04-17T02:00,Barguna,26.1,91,0.0
2026-04-17T03:00,Barguna,26.0,92,0.0
2026-04-17T04:00,Barguna,25.8,94,0.0
2026-04-17T05:00,Barguna,26.2,92,0.0
2026-04-17T06:00,Barguna,26.0,95,0.0
2026-04-17T07:00,Barguna,27.5,89,0.0
2026-04-17T08:00,Barguna,29.4,80,0.0
2026-04-17T09:00,Barguna,30.6,73,0.2
2026-04-17T10:00,Barguna,31.0,70,0.9
2026-04-17T11:00,Barguna,32.0,67,0.7
2026-04-17T12:00,Barguna,32.1,65,0.5
2026-04-17T13:00,Barguna,32.0,64,0.5
2026-04-17T14:00,Barguna,31.8,66,0.5
2026-04-17T15:00,Barguna,31.0,68,0.0
2026-04-17T16:00,Barguna,30.1,72,0.0
2026-04-17T17:00,Barguna,29.2,76,0.0
2026-04-17T18:00,Barguna,28.6,79,0.0
2026-04-17T19:00,Barguna,27.8,82,0.0
2026-04-17T20:00,Barguna,27.5,84,0.0
2026-04-17T21:00,Barguna,27.3,86,0.0
2026-04-17T22:00,Barguna,27.0,89,0.0
2026-04-17T23:00,Barguna,26.6,92,0.0
2026-04-18T00:00,Barguna,26.4,96,0.0
2026-04-18T01:00,Barguna,26.3,96,0.0
2026-04-18T02:00,Barguna,26.2,96,0.0
2026-04-18T03:00,Barguna,26.0,96,0.0
2026-04-18T04:00,Barguna,25.6,98,0.0
2026-04-18T05:00,Barguna,25.4,99,0.0
2026-04-18T06:00,Barguna,25.5,99,0.0
2026-04-18T07:00,Barguna,27.5,92,0.1
2026-04-18T08:00,Barguna,29.0,83,0.3
2026-04-18T09:00,Barguna,30.4,74,0.1
2026-04-18T10:00,Barguna,31.8,66,0.0
2026-04-18T11:00,Barguna,32.8,61,0.0
2026-04-18T12:00,Barguna,32.8,60,0.0
2026-04-18T13:00,Barguna,32.7,61,0.0
2026-04-18T14:00,Barguna,32.0,61,0.0
2026-04-18T15:00,Barguna,31.6,64,0.0
2026-04-18T16:00,Barguna,30.9,68,0.0
2026-04-18T17:00,Barguna,29.9,72,0.0
2026-04-18T18:00,Barguna,28.6,81,0.0
2026-04-18T19:00,Barguna,27.8,86,0.0
2026-04-18T20:00,Barguna,27.5,88,0.0
2026-04-18T21:00,Barguna,27.3,88,0.0
2026-04-18T22:00,Barguna,27.1,89,0.0
2026-04-18T23:00,Barguna,26.8,92,0.0
2026-04-19T00:00,Barguna,27.0,93,0.0
2026-04-19T01:00,Barguna,27.0,93,0.0
2026-04-19T02:00,Barguna,26.6,95,0.0
2026-04-19T03:00,Barguna,26.3,97,0.0
2026-04-19T04:00,Barguna,26.0,97,0.0
2026-04-19T05:00,Barguna,26.0,97,0.0
2026-04-19T06:00,Barguna,26.0,97,0.1
2026-04-19T07:00,Barguna,28.4,85,0.0
2026-04-19T08:00,Barguna,29.9,76,0.1
2026-04-19T09:00,Barguna,31.1,71,0.1
2026-04-19T10:00,Barguna,31.8,68,0.1
2026-04-19T11:00,Barguna,31.8,68,0.0
2026-04-19T12:00,Barguna,32.0,64,0.0
2026-04-19T13:00,Barguna,32.0,64,0.0
2026-04-19T14:00,Barguna,31.5,66,0.0
2026-04-19T15:00,Barguna,31.6,66,0.0
2026-04-19T16:00,Barguna,30.6,70,0.0
2026-04-19T17:00,Barguna,29.5,75,0.0
2026-04-19T18:00,Barguna,29.0,79,0.0
2026-04-19T19:00,Barguna,28.0,86,0.0
2026-04-19T20:00,Barguna,27.7,89,0.0
2026-04-19T21:00,Barguna,27.6,89,0.0
2026-04-19T22:00,Barguna,27.7,89,0.0
2026-04-19T23:00,Barguna,27.6,89,0.0
2026-04-20T00:00,Barguna,28.1,87,0.0
2026-04-20T01:00,Barguna,28.0,87,0.0
2026-04-20T02:00,Barguna,27.7,89,0.0
2026-04-20T03:00,Barguna,27.6,89,0.0
2026-04-20T04:00,Barguna,27.3,91,0.0
2026-04-20T05:00,Barguna,27.1,92,0.0
2026-04-20T06:00,Barguna,27.8,89,0.0
2026-04-20T07:00,Barguna,29.1,82,0.0
2026-04-20T08:00,Barguna,30.5,74,0.1
2026-04-20T09:00,Barguna,31.2,70,0.0
2026-04-20T10:00,Barguna,32.0,67,0.0
2026-04-20T11:00,Barguna,32.1,67,0.1
2026-04-20T12:00,Barguna,32.4,63,0.0
2026-04-20T13:00,Barguna,32.1,64,0.0
2026-04-20T14:00,Barguna,32.5,62,0.0
2026-04-20T15:00,Barguna,32.0,63,0.0
2026-04-20T16:00,Barguna,30.9,68,0.0
2026-04-20T17:00,Barguna,30.1,71,0.0
2026-04-20T18:00,Barguna,29.1,81,0.0
2026-04-20T19:00,Barguna,28.6,86,0.0
2026-04-20T20:00,Barguna,28.2,88,0.0
2026-04-20T21:00,Barguna,28.1,88,0.0
2026-04-20T22:00,Barguna,27.9,89,0.0
2026-04-20T23:00,Barguna,27.6,89,0.0
2026-04-21T00:00,Barguna,28.0,90,0.0
2026-04-21T01:00,Barguna,27.9,90,0.0
2026-04-21T02:00,Barguna,27.6,92,0.0
2026-04-21T03:00,Barguna,27.5,93,0.0
2026-04-21T04:00,Barguna,27.4,93,0.0
2026-04-21T05:00,Barguna,27.3,93,0.0
2026-04-21T06:00,Barguna,27.8,91,0.0
2026-04-21T07:00,Barguna,29.1,85,0.0
2026-04-21T08:00,Barguna,30.5,77,0.1
2026-04-21T09:00,Barguna,31.5,72,0.1
2026-04-21T10:00,Barguna,32.2,69,0.1
2026-04-21T11:00,Barguna,32.8,66,0.0
2026-04-21T12:00,Barguna,32.8,62,0.0
2026-04-21T13:00,Barguna,32.8,62,0.0
2026-04-21T14:00,Barguna,32.5,63,0.0
2026-04-21T15:00,Barguna,32.3,64,0.0
2026-04-21T16:00,Barguna,31.5,68,0.0
2026-04-21T17:00,Barguna,30.5,74,0.0
2026-04-21T18:00,Barguna,29.6,81,0.0
2026-04-21T19:00,Barguna,28.9,87,0.0
2026-04-21T20:00,Barguna,28.4,91,0.1
2026-04-21T21:00,Barguna,28.1,92,0.0
2026-04-21T22:00,Barguna,27.9,94,0.0
2026-04-21T23:00,Barguna,27.7,94,0.0
2026-04-22T00:00,Barguna,27.9,93,0.0
2026-04-22T01:00,Barguna,27.9,93,0.0
2026-04-22T02:00,Barguna,27.8,93,0.0
2026-04-22T03:00,Barguna,27.8,93,0.0
2026-04-22T04:00,Barguna,27.8,92,0.0
2026-04-22T05:00,Barguna,27.4,94,0.0
2026-04-22T06:00,Barguna,27.2,94,0.0
2026-04-22T07:00,Barguna,28.6,87,0.0
2026-04-22T08:00,Barguna,29.9,81,0.0
2026-04-22T09:00,Barguna,30.5,77,0.1
2026-04-22T10:00,Barguna,32.5,69,0.0
2026-04-22T11:00,Barguna,33.3,65,0.0
2026-04-22T12:00,Barguna,33.5,61,0.0
2026-04-22T13:00,Barguna,33.8,58,0.0
2026-04-22T14:00,Barguna,33.2,59,0.0
2026-04-22T15:00,Barguna,32.8,62,0.0
2026-04-22T16:00,Barguna,32.1,64,0.0
2026-04-22T17:00,Barguna,31.0,71,0.0
2026-04-22T18:00,Barguna,29.6,81,0.0
2026-04-22T19:00,Barguna,28.5,89,0.0
2026-04-22T20:00,Barguna,27.7,94,0.0
2026-04-22T21:00,Barguna,27.6,94,0.0
2026-04-22T22:00,Barguna,27.3,97,0.0
2026-04-22T23:00,Barguna,27.2,97,0.0
2026-04-23T00:00,Barguna,27.3,98,0.0
2026-04-23T01:00,Barguna,27.2,97,0.0
2026-04-23T02:00,Barguna,27.0,97,0.0
2026-04-23T03:00,Barguna,26.5,98,0.0
2026-04-23T04:00,Barguna,26.6,99,0.0
2026-04-23T05:00,Barguna,26.4,98,0.0
2026-04-23T06:00,Barguna,26.8,98,0.0
2026-04-23T07:00,Barguna,28.5,88,0.0
2026-04-23T08:00,Barguna,30.0,78,0.0
2026-04-23T09:00,Barguna,31.4,70,0.0
2026-04-23T10:00,Barguna,32.2,66,0.0
