dataset,model,version,horizon,accuracy,precision,recall,f1_weighted,f1_macro,confusion_matrix,classification_report,train_acc,val_acc
A_weather_only_t+6,LogisticRegression,A_weather_only,t+6,0.8265625,0.8704432798423071,0.8265625,0.8418961603574665,0.7477129370985903,"[[ 417   63    0]
 [ 120  226   14]
 [   0  247 1473]]","{'Low': {'precision': 0.776536312849162, 'recall': 0.86875, 'f1-score': 0.8200589970501475, 'support': 480.0}, 'Medium': {'precision': 0.4216417910447761, 'recall': 0.6277777777777778, 'f1-score': 0.5044642857142857, 'support': 360.0}, 'High': {'precision': 0.9905850706119704, 'recall': 0.8563953488372092, 'f1-score': 0.9186155285313377, 'support': 1720.0}, 'accuracy': 0.8265625, 'macro avg': {'precision': 0.7295877248353029, 'recall': 0.7843077088716623, 'f1-score': 0.7477129370985903, 'support': 2560.0}, 'weighted avg': {'precision': 0.8704432798423071, 'recall': 0.8265625, 'f1-score': 0.8418961603574665, 'support': 2560.0}}",,
A_weather_only_t+6,RandomForest,A_weather_only,t+6,0.843359375,0.8374713835976733,0.843359375,0.8339244282667441,0.7208057457202246,"[[ 230  129  121]
 [  79  242   39]
 [   0   33 1687]]","{'Low': {'precision': 0.7443365695792881, 'recall': 0.4791666666666667, 'f1-score': 0.5830164765525983, 'support': 480.0}, 'Medium': {'precision': 0.599009900990099, 'recall': 0.6722222222222223, 'f1-score': 0.6335078534031413, 'support': 360.0}, 'High': {'precision': 0.9133730373578777, 'recall': 0.9808139534883721, 'f1-score': 0.9458929072049341, 'support': 1720.0}, 'accuracy': 0.843359375, 'macro avg': {'precision': 0.7522398359757548, 'recall': 0.7107342807924204, 'f1-score': 0.7208057457202246, 'support': 2560.0}, 'weighted avg': {'precision': 0.8374713835976733, 'recall': 0.843359375, 'f1-score': 0.8339244282667441, 'support': 2560.0}}",,
A_weather_only_t+6,XGBoost,A_weather_only,t+6,0.837109375,0.8337839716793358,0.837109375,0.8264390543612077,0.7007194496599811,"[[ 205  169  106]
 [  76  245   39]
 [   0   27 1693]]","{'Low': {'precision': 0.7295373665480427, 'recall': 0.4270833333333333, 'f1-score': 0.5387647831800263, 'support': 480.0}, 'Medium': {'precision': 0.5555555555555556, 'recall': 0.6805555555555556, 'f1-score': 0.6117353308364545, 'support': 360.0}, 'High': {'precision': 0.9211099020674647, 'recall': 0.9843023255813953, 'f1-score': 0.9516582349634626, 'support': 1720.0}, 'accuracy': 0.837109375, 'macro avg': {'precision': 0.7354009413903544, 'recall': 0.6973137381567613, 'f1-score': 0.7007194496599811, 'support': 2560.0}, 'weighted avg': {'precision': 0.8337839716793358, 'recall': 0.837109375, 'f1-score': 0.8264390543612077, 'support': 2560.0}}",,
A_weather_only_t+6,LSTM,A_weather_only,t+6,0.8546875,0.8551488647141259,0.8546875,0.8548834501714957,0.7495894852548024,"[[ 351   78   51]
 [ 117  204   39]
 [   0   87 1633]]","{'Low': {'precision': 0.75, 'recall': 0.73125, 'f1-score': 0.740506329113924, 'support': 480.0}, 'Medium': {'precision': 0.5528455284552846, 'recall': 0.5666666666666667, 'f1-score': 0.5596707818930041, 'support': 360.0}, 'High': {'precision': 0.9477655252466628, 'recall': 0.9494186046511628, 'f1-score': 0.948591344757479, 'support': 1720.0}, 'accuracy': 0.8546875, 'macro avg': {'precision': 0.7502036845673157, 'recall': 0.749111757105943, 'f1-score': 0.7495894852548024, 'support': 2560.0}, 'weighted avg': {'precision': 0.8551488647141259, 'recall': 0.8546875, 'f1-score': 0.8548834501714957, 'support': 2560.0}}",0.974084734916687,0.9883449673652649
A_weather_only_t+12,LogisticRegression,A_weather_only,t+12,0.7797413793103448,0.8241482118628172,0.7797413793103448,0.7962767449614473,0.6497147074499253,"[[ 212  174   14]
 [ 105  204   11]
 [  90  117 1393]]","{'Low': {'precision': 0.5208845208845209, 'recall': 0.53, 'f1-score': 0.5254027261462205, 'support': 400.0}, 'Medium': {'precision': 0.4121212121212121, 'recall': 0.6375, 'f1-score': 0.5006134969325153, 'support': 320.0}, 'High': {'precision': 0.9823695345557123, 'recall': 0.870625, 'f1-score': 0.9231278992710404, 'support': 1600.0}, 'accuracy': 0.7797413793103448, 'macro avg': {'precision': 0.6384584225204818, 'recall': 0.679375, 'f1-score': 0.6497147074499253, 'support': 2320.0}, 'weighted avg': {'precision': 0.8241482118628172, 'recall': 0.7797413793103448, 'f1-score': 0.7962767449614473, 'support': 2320.0}}",,
A_weather_only_t+12,RandomForest,A_weather_only,t+12,0.8228448275862069,0.8446993791821377,0.8228448275862069,0.8258441565334358,0.6932640585916587,"[[ 174  196   30]
 [  45  264   11]
 [  71   58 1471]]","{'Low': {'precision': 0.6, 'recall': 0.435, 'f1-score': 0.5043478260869565, 'support': 400.0}, 'Medium': {'precision': 0.5096525096525096, 'recall': 0.825, 'f1-score': 0.630071599045346, 'support': 320.0}, 'High': {'precision': 0.9728835978835979, 'recall': 0.919375, 'f1-score': 0.9453727506426736, 'support': 1600.0}, 'accuracy': 0.8228448275862069, 'macro avg': {'precision': 0.6941787025120357, 'recall': 0.7264583333333334, 'f1-score': 0.6932640585916587, 'support': 2320.0}, 'weighted avg': {'precision': 0.8446993791821377, 'recall': 0.8228448275862069, 'f1-score': 0.8258441565334358, 'support': 2320.0}}",,
A_weather_only_t+12,XGBoost,A_weather_only,t+12,0.8163793103448276,0.8421368848496674,0.8163793103448276,0.8231879480076497,0.6834894821809151,"[[ 181  197   22]
 [  70  250    0]
 [  80   57 1463]]","{'Low': {'precision': 0.5468277945619335, 'recall': 0.4525, 'f1-score': 0.4952120383036936, 'support': 400.0}, 'Medium': {'precision': 0.49603174603174605, 'recall': 0.78125, 'f1-score': 0.6067961165048543, 'support': 320.0}, 'High': {'precision': 0.9851851851851852, 'recall': 0.914375, 'f1-score': 0.9484602917341978, 'support': 1600.0}, 'accuracy': 0.8163793103448276, 'macro avg': {'precision': 0.676014908592955, 'recall': 0.7160416666666668, 'f1-score': 0.6834894821809151, 'support': 2320.0}, 'weighted avg': {'precision': 0.8421368848496674, 'recall': 0.8163793103448276, 'f1-score': 0.8231879480076497, 'support': 2320.0}}",,
A_weather_only_t+12,LSTM,A_weather_only,t+12,0.7780172413793104,0.8469425574294193,0.7780172413793104,0.7974404801362891,0.674031730129935,"[[ 208  192    0]
 [  48  272    0]
 [ 112  163 1325]]","{'Low': {'precision': 0.5652173913043478, 'recall': 0.52, 'f1-score': 0.5416666666666666, 'support': 400.0}, 'Medium': {'precision': 0.43381180223285487, 'recall': 0.85, 'f1-score': 0.5744456177402323, 'support': 320.0}, 'High': {'precision': 1.0, 'recall': 0.828125, 'f1-score': 0.905982905982906, 'support': 1600.0}, 'accuracy': 0.7780172413793104, 'macro avg': {'precision': 0.6663430645124009, 'recall': 0.7327083333333334, 'f1-score': 0.674031730129935, 'support': 2320.0}, 'weighted avg': {'precision': 0.8469425574294193, 'recall': 0.7780172413793104, 'f1-score': 0.7974404801362891, 'support': 2320.0}}",0.8867647051811218,0.8982142806053162
A_weather_only_t+24,LogisticRegression,A_weather_only,t+24,0.778804347826087,0.8299384086207834,0.778804347826087,0.797006125962142,0.6648959150106081,"[[ 211  113   14]
 [  65  146   11]
 [ 112   92 1076]]","{'Low': {'precision': 0.5438144329896907, 'recall': 0.6242603550295858, 'f1-score': 0.581267217630854, 'support': 338.0}, 'Medium': {'precision': 0.41595441595441596, 'recall': 0.6576576576576577, 'f1-score': 0.5095986038394416, 'support': 222.0}, 'High': {'precision': 0.9772933696639419, 'recall': 0.840625, 'f1-score': 0.9038219235615288, 'support': 1280.0}, 'accuracy': 0.778804347826087, 'macro avg': {'precision': 0.6456874062026828, 'recall': 0.7075143375624146, 'f1-score': 0.6648959150106081, 'support': 1840.0}, 'weighted avg': {'precision': 0.8299384086207834, 'recall': 0.778804347826087, 'f1-score': 0.797006125962142, 'support': 1840.0}}",,
A_weather_only_t+24,RandomForest,A_weather_only,t+24,0.7657608695652174,0.8074594435081094,0.7657608695652174,0.7723049016891212,0.6194084433190469,"[[ 102  214   22]
 [  11  203    8]
 [ 129   47 1104]]","{'Low': {'precision': 0.4214876033057851, 'recall': 0.30177514792899407, 'f1-score': 0.35172413793103446, 'support': 338.0}, 'Medium': {'precision': 0.4375, 'recall': 0.9144144144144144, 'f1-score': 0.5918367346938775, 'support': 222.0}, 'High': {'precision': 0.9735449735449735, 'recall': 0.8625, 'f1-score': 0.9146644573322287, 'support': 1280.0}, 'accuracy': 0.7657608695652174, 'macro avg': {'precision': 0.6108441922835862, 'recall': 0.6928965207811362, 'f1-score': 0.6194084433190469, 'support': 1840.0}, 'weighted avg': {'precision': 0.8074594435081094, 'recall': 0.7657608695652174, 'f1-score': 0.7723049016891212, 'support': 1840.0}}",,
