datetime,division,district,upazila,temperature,humidity,rainfall,demand_index,risk_level
2026-04-13 00:00:00,Barisal,Barguna,Amtali,26.1,96,0.0,0.4835,Medium
2026-04-13 02:00:00,Barisal,Barguna,Amtali,25.9,96,0.0,0.4805,Medium
2026-04-13 04:00:00,Barisal,Barguna,Amtali,25.5,95,0.0,0.4725,Medium
2026-04-13 06:00:00,Barisal,Barguna,Amtali,25.9,92,0.0,0.7725,High
2026-04-13 08:00:00,Barisal,Barguna,Amtali,29.0,78,0.0,0.791,High
2026-04-13 10:00:00,Barisal,Barguna,Amtali,31.3,70,0.0,0.9595,High
2026-04-13 12:00:00,Barisal,Barguna,Amtali,32.0,65,0.0,0.96,High
2026-04-13 14:00:00,Barisal,Barguna,Amtali,31.8,67,0.0,1.0,High
2026-04-13 16:00:00,Barisal,Barguna,Amtali,30.2,72,0.0,1.0,High
2026-04-13 18:00:00,Barisal,Barguna,Amtali,28.2,83,0.0,1.0,High
2026-04-13 20:00:00,Barisal,Barguna,Amtali,27.2,89,0.0,1.0,High
2026-04-13 22:00:00,Barisal,Barguna,Amtali,27.1,89,0.0,0.6845,Medium
2026-04-14 00:00:00,Barisal,Barguna,Amtali,26.6,91,0.0,0.481,Medium
2026-04-14 02:00:00,Barisal,Barguna,Amtali,26.4,89,0.0,0.474,Medium
2026-04-14 04:00:00,Barisal,Barguna,Amtali,26.2,89,0.0,0.471,Medium
2026-04-14 06:00:00,Barisal,Barguna,Amtali,25.7,94,0.0,0.7735,High
2026-04-14 08:00:00,Barisal,Barguna,Amtali,29.1,79,0.1,0.7942,High
2026-04-14 10:00:00,Barisal,Barguna,Amtali,31.6,67,0.0,0.958,High
2026-04-14 12:00:00,Barisal,Barguna,Amtali,30.8,68,1.6,0.944,High
2026-04-14 14:00:00,Barisal,Barguna,Amtali,30.8,67,0.6,1.0,High
2026-04-14 16:00:00,Barisal,Barguna,Amtali,29.5,75,0.1,1.0,High
2026-04-14 18:00:00,Barisal,Barguna,Amtali,27.6,87,0.0,1.0,High
2026-04-14 20:00:00,Barisal,Barguna,Amtali,27.0,91,0.0,1.0,High
2026-04-14 22:00:00,Barisal,Barguna,Amtali,27.3,91,0.0,0.6915,Medium
2026-04-15 00:00:00,Barisal,Barguna,Amtali,26.9,96,0.0,0.4955,Medium
2026-04-15 02:00:00,Barisal,Barguna,Amtali,26.6,96,0.0,0.491,Medium
2026-04-15 04:00:00,Barisal,Barguna,Amtali,26.5,96,0.0,0.4895,Medium
2026-04-15 06:00:00,Barisal,Barguna,Amtali,26.1,95,0.0,0.7815,High
2026-04-15 08:00:00,Barisal,Barguna,Amtali,29.5,77,0.0,0.7965,High
2026-04-15 10:00:00,Barisal,Barguna,Amtali,31.6,65,0.0,0.954,High
2026-04-15 12:00:00,Barisal,Barguna,Amtali,32.0,63,0.0,0.956,High
2026-04-15 14:00:00,Barisal,Barguna,Amtali,30.9,72,0.0,1.0,High
2026-04-15 16:00:00,Barisal,Barguna,Amtali,29.9,77,0.0,1.0,High
2026-04-15 18:00:00,Barisal,Barguna,Amtali,28.4,83,0.0,1.0,High
2026-04-15 20:00:00,Barisal,Barguna,Amtali,27.2,90,0.0,1.0,High
2026-04-15 22:00:00,Barisal,Barguna,Amtali,27.0,91,0.0,0.687,Medium
2026-04-16 00:00:00,Barisal,Barguna,Amtali,26.9,89,0.0,0.4815,Medium
2026-04-16 02:00:00,Barisal,Barguna,Amtali,27.0,86,0.0,0.477,Medium
2026-04-16 04:00:00,Barisal,Barguna,Amtali,26.5,87,0.0,0.4715,Medium
2026-04-16 06:00:00,Barisal,Barguna,Amtali,25.9,94,0.0,0.7765,High
2026-04-16 08:00:00,Barisal,Barguna,Amtali,29.2,78,0.1,0.7938,High
2026-04-16 10:00:00,Barisal,Barguna,Amtali,31.2,68,0.0,0.954,High
2026-04-16 12:00:00,Barisal,Barguna,Amtali,31.4,63,0.0,0.947,High
2026-04-16 14:00:00,Barisal,Barguna,Amtali,31.4,61,0.0,1.0,High
2026-04-16 16:00:00,Barisal,Barguna,Amtali,29.9,68,0.0,1.0,High
2026-04-16 18:00:00,Barisal,Barguna,Amtali,28.2,78,0.0,1.0,High
2026-04-16 20:00:00,Barisal,Barguna,Amtali,27.1,83,0.0,1.0,High
2026-04-16 22:00:00,Barisal,Barguna,Amtali,26.8,86,0.0,0.674,Medium
2026-04-17 00:00:00,Barisal,Barguna,Amtali,26.6,87,0.0,0.473,Medium
2026-04-17 02:00:00,Barisal,Barguna,Amtali,26.1,91,0.0,0.4735,Medium
2026-04-17 04:00:00,Barisal,Barguna,Amtali,25.8,94,0.0,0.475,Medium
2026-04-17 06:00:00,Barisal,Barguna,Amtali,26.0,95,0.0,0.78,High
2026-04-17 08:00:00,Barisal,Barguna,Amtali,29.4,80,0.0,0.801,High
2026-04-17 10:00:00,Barisal,Barguna,Amtali,31.0,70,0.9,0.9528,High
2026-04-17 12:00:00,Barisal,Barguna,Amtali,32.1,65,0.5,0.9602,High
2026-04-17 14:00:00,Barisal,Barguna,Amtali,31.8,66,0.5,1.0,High
2026-04-17 16:00:00,Barisal,Barguna,Amtali,30.1,72,0.0,1.0,High
2026-04-17 18:00:00,Barisal,Barguna,Amtali,28.6,79,0.0,1.0,High
2026-04-17 20:00:00,Barisal,Barguna,Amtali,27.5,84,0.0,1.0,High
2026-04-17 22:00:00,Barisal,Barguna,Amtali,27.0,89,0.0,0.683,Medium
2026-04-18 00:00:00,Barisal,Barguna,Amtali,26.4,96,0.0,0.488,Medium
2026-04-18 02:00:00,Barisal,Barguna,Amtali,26.2,96,0.0,0.485,Medium
2026-04-18 04:00:00,Barisal,Barguna,Amtali,25.6,98,0.0,0.48,Medium
2026-04-18 06:00:00,Barisal,Barguna,Amtali,25.5,99,0.0,0.7805,High
2026-04-18 08:00:00,Barisal,Barguna,Amtali,29.0,83,0.3,0.8002,High
2026-04-18 10:00:00,Barisal,Barguna,Amtali,31.8,66,0.0,0.959,High
2026-04-18 12:00:00,Barisal,Barguna,Amtali,32.8,60,0.0,0.962,High
2026-04-18 14:00:00,Barisal,Barguna,Amtali,32.0,61,0.0,1.0,High
2026-04-18 16:00:00,Barisal,Barguna,Amtali,30.9,68,0.0,1.0,High
2026-04-18 18:00:00,Barisal,Barguna,Amtali,28.6,81,0.0,1.0,High
2026-04-18 20:00:00,Barisal,Barguna,Amtali,27.5,88,0.0,1.0,High
2026-04-18 22:00:00,Barisal,Barguna,Amtali,27.1,89,0.0,0.6845,Medium
2026-04-19 00:00:00,Barisal,Barguna,Amtali,27.0,93,0.0,0.491,Medium
2026-04-19 02:00:00,Barisal,Barguna,Amtali,26.6,95,0.0,0.489,Medium
2026-04-19 04:00:00,Barisal,Barguna,Amtali,26.0,97,0.0,0.484,Medium
2026-04-19 06:00:00,Barisal,Barguna,Amtali,26.0,97,0.1,0.7837,High
2026-04-19 08:00:00,Barisal,Barguna,Amtali,29.9,76,0.1,0.8002,High
2026-04-19 10:00:00,Barisal,Barguna,Amtali,31.8,68,0.1,0.9628,High
2026-04-19 12:00:00,Barisal,Barguna,Amtali,32.0,64,0.0,0.958,High
2026-04-19 14:00:00,Barisal,Barguna,Amtali,31.5,66,0.0,1.0,High
2026-04-19 16:00:00,Barisal,Barguna,Amtali,30.6,70,0.0,1.0,High
2026-04-19 18:00:00,Barisal,Barguna,Amtali,29.0,79,0.0,1.0,High
2026-04-19 20:00:00,Barisal,Barguna,Amtali,27.7,89,0.0,1.0,High
2026-04-19 22:00:00,Barisal,Barguna,Amtali,27.7,89,0.0,0.6935,Medium
2026-04-20 00:00:00,Barisal,Barguna,Amtali,28.1,87,0.0,0.4955,Medium
2026-04-20 02:00:00,Barisal,Barguna,Amtali,27.7,89,0.0,0.4935,Medium
2026-04-20 04:00:00,Barisal,Barguna,Amtali,27.3,91,0.0,0.4915,Medium
2026-04-20 06:00:00,Barisal,Barguna,Amtali,27.8,89,0.0,0.795,High
2026-04-20 08:00:00,Barisal,Barguna,Amtali,30.5,74,0.1,0.8052,High
2026-04-20 10:00:00,Barisal,Barguna,Amtali,32.0,67,0.0,0.964,High
2026-04-20 12:00:00,Barisal,Barguna,Amtali,32.4,63,0.0,0.962,High
2026-04-20 14:00:00,Barisal,Barguna,Amtali,32.5,62,0.0,1.0,High
2026-04-20 16:00:00,Barisal,Barguna,Amtali,30.9,68,0.0,1.0,High
