datetime,division,district,upazila,temperature,humidity,rainfall,demand_index,risk_level
4/13/2026 0:00,Sylhet,Habiganj,Ajmiriganj,23,83,0,0.411,Low
4/13/2026 2:00,Sylhet,Habiganj,Ajmiriganj,23.5,93,0,0.4385,Low
4/13/2026 4:00,Sylhet,Habiganj,Ajmiriganj,22.9,90,0.1,0.4232,Low
4/13/2026 6:00,Sylhet,Habiganj,Ajmiriganj,24.4,98,0,0.762,High
4/13/2026 8:00,Sylhet,Habiganj,Ajmiriganj,20.9,96,0.3,0.7047,High
4/13/2026 10:00,Sylhet,Habiganj,Ajmiriganj,24.1,90,0,0.8915,High
4/13/2026 12:00,Sylhet,Habiganj,Ajmiriganj,29.2,71,0.1,0.9298,High
4/13/2026 14:00,Sylhet,Habiganj,Ajmiriganj,30.8,64,0.1,1,High
4/13/2026 16:00,Sylhet,Habiganj,Ajmiriganj,29.5,67,0.3,1,High
4/13/2026 18:00,Sylhet,Habiganj,Ajmiriganj,28.5,69,0.5,1,High
4/13/2026 20:00,Sylhet,Habiganj,Ajmiriganj,25.1,91,0.2,1,High
4/13/2026 22:00,Sylhet,Habiganj,Ajmiriganj,24.1,94,0,0.6495,Medium
4/14/2026 0:00,Sylhet,Habiganj,Ajmiriganj,24.8,90,0,0.452,Medium
4/14/2026 2:00,Sylhet,Habiganj,Ajmiriganj,21.5,98,1.4,0.415,Low
4/14/2026 4:00,Sylhet,Habiganj,Ajmiriganj,21.4,93,0,0.407,Low
4/14/2026 6:00,Sylhet,Habiganj,Ajmiriganj,22,91,0.9,0.7098,High
4/14/2026 8:00,Sylhet,Habiganj,Ajmiriganj,24.4,89,0,0.744,High
4/14/2026 10:00,Sylhet,Habiganj,Ajmiriganj,28.6,75,0.2,0.9285,High
4/14/2026 12:00,Sylhet,Habiganj,Ajmiriganj,30,71,0.1,0.9418,High
4/14/2026 14:00,Sylhet,Habiganj,Ajmiriganj,31.1,65,0,1,High
4/14/2026 16:00,Sylhet,Habiganj,Ajmiriganj,30.8,66,0.2,1,High
4/14/2026 18:00,Sylhet,Habiganj,Ajmiriganj,26.8,78,0,1,High
4/14/2026 20:00,Sylhet,Habiganj,Ajmiriganj,26.4,85,0,1,High
4/14/2026 22:00,Sylhet,Habiganj,Ajmiriganj,26.2,86,0,0.665,Medium
4/15/2026 0:00,Sylhet,Habiganj,Ajmiriganj,20.4,99,0,0.404,Low
4/15/2026 2:00,Sylhet,Habiganj,Ajmiriganj,21.5,97,0.3,0.4158,Low
4/15/2026 4:00,Sylhet,Habiganj,Ajmiriganj,21.9,96,0,0.4205,Low
4/15/2026 6:00,Sylhet,Habiganj,Ajmiriganj,22,96,0.1,0.7218,High
4/15/2026 8:00,Sylhet,Habiganj,Ajmiriganj,23.8,88,0.2,0.7325,High
4/15/2026 10:00,Sylhet,Habiganj,Ajmiriganj,27.5,76,0,0.9145,High
4/15/2026 12:00,Sylhet,Habiganj,Ajmiriganj,30,67,0,0.934,High
4/15/2026 14:00,Sylhet,Habiganj,Ajmiriganj,31.2,64,0,1,High
4/15/2026 16:00,Sylhet,Habiganj,Ajmiriganj,31.5,63,0,1,High
4/15/2026 18:00,Sylhet,Habiganj,Ajmiriganj,28.6,75,0,1,High
4/15/2026 20:00,Sylhet,Habiganj,Ajmiriganj,26.8,74,0,1,High
4/15/2026 22:00,Sylhet,Habiganj,Ajmiriganj,23.6,87,0,0.628,Medium
4/16/2026 0:00,Sylhet,Habiganj,Ajmiriganj,21.5,96,0,0.4145,Low
4/16/2026 2:00,Sylhet,Habiganj,Ajmiriganj,21.6,91,0,0.406,Low
4/16/2026 4:00,Sylhet,Habiganj,Ajmiriganj,21.5,91,0,0.4045,Low
4/16/2026 6:00,Sylhet,Habiganj,Ajmiriganj,21,97,0,0.709,High
4/16/2026 8:00,Sylhet,Habiganj,Ajmiriganj,23.5,89,0,0.7305,High
4/16/2026 10:00,Sylhet,Habiganj,Ajmiriganj,27.8,75,0,0.917,High
4/16/2026 12:00,Sylhet,Habiganj,Ajmiriganj,29.3,68,0,0.9255,High
4/16/2026 14:00,Sylhet,Habiganj,Ajmiriganj,30.5,65,0.1,1,High
4/16/2026 16:00,Sylhet,Habiganj,Ajmiriganj,30.6,64,0.1,1,High
4/16/2026 18:00,Sylhet,Habiganj,Ajmiriganj,28,85,0,1,High
4/16/2026 20:00,Sylhet,Habiganj,Ajmiriganj,25.9,84,0,1,High
4/16/2026 22:00,Sylhet,Habiganj,Ajmiriganj,22.8,93,2.1,0.6228,Medium
4/17/2026 0:00,Sylhet,Habiganj,Ajmiriganj,24,93,0,0.446,Low
4/17/2026 2:00,Sylhet,Habiganj,Ajmiriganj,22.2,96,5,0.4125,Low
4/17/2026 4:00,Sylhet,Habiganj,Ajmiriganj,21.9,97,0,0.4225,Low
4/17/2026 6:00,Sylhet,Habiganj,Ajmiriganj,23.2,100,0,0.748,High
4/17/2026 8:00,Sylhet,Habiganj,Ajmiriganj,24.9,93,0,0.7595,High
4/17/2026 10:00,Sylhet,Habiganj,Ajmiriganj,27.2,80,0,0.918,High
4/17/2026 12:00,Sylhet,Habiganj,Ajmiriganj,30.6,72,0,0.953,High
4/17/2026 14:00,Sylhet,Habiganj,Ajmiriganj,31.6,66,0,1,High
4/17/2026 16:00,Sylhet,Habiganj,Ajmiriganj,31.3,64,0,1,High
4/17/2026 18:00,Sylhet,Habiganj,Ajmiriganj,29.4,82,0,1,High
4/17/2026 20:00,Sylhet,Habiganj,Ajmiriganj,26.4,93,0,1,High
4/17/2026 22:00,Sylhet,Habiganj,Ajmiriganj,25.5,93,0,0.6685,Medium
4/18/2026 0:00,Sylhet,Habiganj,Ajmiriganj,24.7,93,0,0.4565,Medium
4/18/2026 2:00,Sylhet,Habiganj,Ajmiriganj,24.5,96,0,0.4595,Medium
4/18/2026 4:00,Sylhet,Habiganj,Ajmiriganj,24.1,96,0,0.4535,Medium
4/18/2026 6:00,Sylhet,Habiganj,Ajmiriganj,23.9,98,0.6,0.753,High
